id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
63963,Male,Urban,Bachelor,,1,0,3629.0,More than 1,A,Silver,175140
19537,Male,Urban,Others,58.38,1,3,2006.0,More than 1,B,Silver,154452
38004,Female,Rural,Bachelor,5.58,1,8,0.0,More than 1,B,Gold,102588
84329,Male,Urban,Bachelor,7.91,1,7,3867.0,More than 1,B,Silver,62532
58436,Male,Rural,High School,7.83,1,4,2256.0,More than 1,B,Gold,59940
37243,Female,Urban,Bachelor,6.68,1,6,8099.0,More than 1,A,Platinum,59196
10049,Male,Urban,High School,9.78,1,6,4147.0,1,A,Gold,32832
6055,Male,Urban,High School,4.71,1,8,6498.0,More than 1,A,Silver,72324
44264,Male,Urban,High School,7.57,1,4,4191.0,1,B,Gold,62136
40733,Male,Urban,High School,9.7,0,1,4531.0,1,C,Platinum,51300
3788,Male,Urban,Bachelor,28.09,0,6,2477.0,1,B,Platinum,31764
25611,Female,Urban,Bachelor,2.29,0,7,7126.0,More than 1,A,Platinum,44892
4628,Female,,High School,8.91,1,7,4065.0,More than 1,C,Silver,114900
63308,Male,Urban,High School,,1,4,6786.0,1,,Platinum,37464
51590,Male,Urban,Bachelor,3.26,0,4,7532.0,More than 1,B,Platinum,42684
29215,Male,Urban,High School,7.76,0,0,5980.0,More than 1,A,Platinum,69504
29479,Male,Urban,Others,,1,3,5095.0,More than 1,B,Silver,62136
87494,Female,Urban,High School,21.4,1,4,2597.0,More than 1,A,Gold,347988
5989,Male,Urban,Bachelor,2.19,0,6,8119.0,More than 1,A,Platinum,59304
53214,Female,Urban,High School,69.81,1,2,4385.0,More than 1,A,Platinum,69516
85330,Male,Urban,High School,4.24,1,4,5071.0,More than 1,A,Gold,31692
63243,Male,Urban,High School,7.99,1,4,,More than 1,A,Platinum,107616
82345,Female,Urban,Bachelor,9.81,0,2,0.0,1,C,Platinum,56316
77546,Female,Rural,Bachelor,8.53,0,8,0.0,More than 1,A,Platinum,70704
30880,Female,Urban,Bachelor,7.82,1,5,2448.0,More than 1,A,Silver,63252
