id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
44833,Male,Urban,Bachelor,3.18,0,8,4987.0,More than 1,B,Silver,108552
58175,Male,Rural,High School,9.52,1,0,4587.0,More than 1,A,Platinum,65328
83194,Male,Urban,High School,2.84,1,6,4232.0,1,A,Platinum,99276
73602,Female,Urban,Bachelor,4.2,0,6,3980.0,More than 1,B,Platinum,73212
44745,Female,Urban,High School,,1,4,0.0,1,A,Silver,37584
58012,Male,Urban,Bachelor,2.23,0,2,6398.0,1,A,Gold,29076
63877,Male,Urban,High School,1.04,0,6,7562.0,More than 1,B,Silver,63516
25890,Female,Urban,Bachelor,8.15,0,1,3546.0,More than 1,A,Silver,104100
29090,Male,Rural,High School,54.24,1,0,5651.0,More than 1,,Platinum,103992
56172,Male,Rural,High School,9.2,1,0,3821.0,More than 1,A,Platinum,58536
67052,Male,Urban,Bachelor,2.68,1,2,3991.0,More than 1,B,Platinum,59412
60001,Female,Urban,Others,9.44,1,5,,More than 1,A,Platinum,63792
61783,Female,Urban,High School,2.62,0,2,6454.0,More than 1,A,Platinum,121236
11015,Female,Rural,High School,6.29,1,5,3218.0,More than 1,A,Platinum,95496
9164,Female,Urban,High School,2.07,1,7,4976.0,1,A,Silver,31128
64847,Male,Urban,Bachelor,3.62,0,4,0.0,More than 1,B,Silver,173832
87985,Female,Urban,High School,3.26,1,7,6002.0,More than 1,C,Gold,62088
38462,Female,Urban,Bachelor,2.79,0,6,0.0,More than 1,B,Gold,95052
75216,Male,Urban,Others,4.02,1,3,2513.0,More than 1,A,Platinum,69768
27823,Male,Urban,High School,6.81,1,7,8191.0,More than 1,A,Platinum,116016
50505,Female,Urban,High School,2.33,0,6,6322.0,More than 1,A,Silver,112896
47485,Male,Rural,High School,34.52,0,8,0.0,More than 1,B,Platinum,62652
24473,Female,Urban,Bachelor,3.75,1,8,5718.0,More than 1,A,Gold,175992
5303,Male,Urban,High School,4.51,0,3,6377.0,More than 1,B,Gold,288456
81356,Female,Rural,Bachelor,63.28,1,8,4570.0,1,B,Platinum,35352
71029,Male,Rural,Others,5.7,0,6,0.0,More than 1,A,Platinum,98460
16453,Male,,High School,,0,8,8271.0,More than 1,A,Platinum,109476
36519,Male,Urban,Bachelor,9.44,1,5,6375.0,More than 1,B,Platinum,458184
35865,Male,Urban,High School,4.89,1,0,6175.0,More than 1,C,Silver,50472
44397,Female,Rural,High School,7.12,0,6,3568.0,More than 1,B,Platinum,58692
37281,Female,Urban,High School,8.94,0,2,6118.0,More than 1,,Platinum,67212
29578,Female,Urban,High School,5.77,0,6,4603.0,More than 1,B,Platinum,154332
27305,Female,Rural,Bachelor,28.22,1,7,0.0,1,,Gold,56436
