id,gender,area,qualification,income,marital_status,vintage,claim_amount,num_policies,policy,type_of_policy,cltv
18098,Female,Urban,Bachelor,,1,6,0.0,More than 1,B,Gold,77436
11138,Female,Urban,Bachelor,34.46,1,8,0.0,More than 1,B,Silver,109548
12504,Female,Rural,Bachelor,7.46,0,7,4889.0,1,B,Platinum,64452
32004,Male,Urban,Bachelor,7.63,0,3,7222.0,1,A,Platinum,38100
14081,Female,Rural,Bachelor,6.66,0,3,0.0,1,A,Platinum,52188
73932,Female,Rural,Bachelor,8.5,0,7,5838.0,More than 1,B,Silver,66552
36169,Male,Urban,Bachelor,2.03,1,4,5675.0,More than 1,A,Platinum,57360
86013,Male,,Bachelor,11.34,1,2,0.0,More than 1,B,Platinum,29472
14058,Female,Urban,Bachelor,5.47,1,6,8027.0,More than 1,A,Gold,63816
72038,Male,Urban,Bachelor,9.62,1,8,9074.0,More than 1,A,Gold,60612
24932,Male,Urban,High School,7.49,0,2,3873.0,More than 1,B,Gold,68472
53165,Male,Urban,Others,8.23,1,2,3687.0,More than 1,A,Platinum,62460
62154,Male,Urban,Bachelor,4.63,1,7,9759.0,More than 1,A,Silver,194700
21244,Male,Urban,Bachelor,7.09,0,6,,More than 1,A,Gold,117048
43556,Female,Urban,High School,2.22,1,2,2349.0,1,B,Platinum,33384
27283,Female,Urban,Bachelor,9.67,0,7,3545.0,More than 1,A,Platinum,111312
60383,Male,Urban,Bachelor,4.86,1,6,3637.0,More than 1,,Silver,114960
34031,Female,Rural,Bachelor,4.53,1,8,2478.0,More than 1,B,Platinum,64308
14336,Female,Urban,High School,9.29,1,6,6484.0,More than 1,A,Platinum,60876
5422,Female,Rural,High School,7.92,1,3,0.0,More than 1,A,Gold,60732
13202,Male,Urban,Bachelor,4.69,0,2,5389.0,More than 1,B,Silver,116892
25327,Female,Urban,High School,3.0,1,7,,More than 1,C,Silver,256776
59238,Male,Rural,Bachelor,4.22,0,2,4485.0,More than 1,B,Platinum,177684
35166,Male,Rural,High School,6.82,0,7,5203.0,More than 1,A,Gold,116928
8405,Female,Urban,High School,2.37,1,6,6021.0,More than 1,C,Platinum,69336
42483,Male,Urban,High School,5.33,0,2,5981.0,More than 1,A,Platinum,269232
68013,Male,Urban,High School,3.28,0,3,4431.0,More than 1,B,Platinum,121584
59377,Female,Rural,Bachelor,9.01,1,2,0.0,1,B,Silver,32472
73045,Female,Urban,High School,7.05,0,4,0.0,1,A,Platinum,32988
159,Female,Urban,High School,2.38,0,6,5803.0,More than 1,A,Silver,73632
84665,Male,Rural,Bachelor,37.19,1,1,6047.0,More than 1,A,Platinum,372144
26113,Female,Urban,High School,4.11,0,4,4262.0,More than 1,C,Gold,117384
1925,Male,Urban,High School,5.67,1,5,3455.0,More than 1,,Platinum,63240
7108,Male,Urban,Bachelor,9.86,1,1,5691.0,1,A,Platinum,30948
1939,Male,Rural,High School,,1,5,2195.0,1,,Platinum,34032
51725,Male,Urban,Bachelor,8.41,1,4,7805.0,More than 1,A,Platinum,117384
57090,Female,,Bachelor,6.67,0,5,2162.0,More than 1,A,Platinum,68436
72732,Female,Urban,Bachelor,4.77,0,7,3879.0,More than 1,B,Platinum,62364
47086,Male,Urban,High School,23.83,0,6,8235.0,More than 1,C,Platinum,100188
25854,Male,,Bachelor,3.39,0,3,0.0,More than 1,,Silver,66108
3842,Female,Urban,High School,3.58,0,8,8029.0,More than 1,B,Silver,170592
7632,Male,Urban,High School,7.39,1,3,2217.0,More than 1,A,Platinum,225360
31209,Female,Urban,Bachelor,9.58,1,7,4294.0,More than 1,A,Platinum,61200
